type,record_ids,settlement,confidence,rule_fired,llm_invoked,llm_root_cause,llm_explanation,llm_confidence,llm_proposed_action,llm_proposal_reasoning,deterministic_recheck_passed,llm_error_detail,final_status,_ambiguous_merge,counterpart.order_id,counterpart.expected_amount,counterpart.order_date,counterpart.customer_ref,counterpart.status,counterpart.payment_id,counterpart.source,counterpart.order_norm,counterpart.payment_norm,entity_id,payment_id,order_id,amount,fee,tax,currency,settled_amount,settlement_id,settlement_utr,created_at,settled_at,method,card_network,source,utr_norm,order_norm,payment_norm,match_type,bank_txn_id,ledger_order_id
ambiguous_shared_identifier,ORD_ORPHAN_3664,,0.0,no_candidate_found,False,,,,,,,"Error code: 404 - {'error': {'message': 'The model `llama-3.3-70b-versatile` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",unresolved_exception,True,ORD_ORPHAN_3664,,2026-08-28,CUST_4432,pending,PAY_SYNTH_0006,synthetic,ord_orphan_3664,pay_synth_0006,,,,,,,,,,,,,,,,,,,,,
ambiguous_shared_identifier,,,1.0,,,,,,,,,,unresolved_exception,True,,,,,,,,,,sett_0006,PAY_SYNTH_0006,ORD_SYNTH_0006,14540.46,229.71,41.35,INR,14269.4,set_0006,UTR910620,2026-08-28T08:45:25.700586,2026-08-29T08:45:25.700586,UPI,Mastercard,synthetic,utr910620,ord_synth_0006,pay_synth_0006,fuzzy_bank,TXN_472528,
ambiguous_shared_identifier,ORD_DUP_9201,,0.0,no_candidate_found,False,,,,,,,"Error code: 404 - {'error': {'message': 'The model `llama-3.3-70b-versatile` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",unresolved_exception,True,ORD_DUP_9201,32083.99,2026-08-22,CUST_2743,completed,PAY_SYNTH_0015,synthetic,ord_dup_9201,pay_synth_0015,,,,,,,,,,,,,,,,,,,,,
ambiguous_shared_identifier,,,1.0,,,,,,,,,,unresolved_exception,True,,,,,,,,,,sett_0015,PAY_SYNTH_0015,ORD_SYNTH_0015,32083.99,517.05,93.07,INR,31473.87,set_0015,UTR905934,2026-08-22T08:45:25.700975,2026-08-23T08:45:25.700975,UPI,Mastercard,synthetic,utr905934,ord_synth_0015,pay_synth_0015,fuzzy_bank,TXN_632342,
ambiguous_shared_identifier,ORD_ORPHAN_7745,,0.0,no_candidate_found,False,,,,,,,"Error code: 404 - {'error': {'message': 'The model `llama-3.3-70b-versatile` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",unresolved_exception,True,ORD_ORPHAN_7745,,2026-08-10,CUST_5065,pending,PAY_SYNTH_0045,synthetic,ord_orphan_7745,pay_synth_0045,,,,,,,,,,,,,,,,,,,,,
ambiguous_shared_identifier,,,1.0,,,,,,,,,,unresolved_exception,True,,,,,,,,,,sett_0045,PAY_SYNTH_0045,ORD_SYNTH_0045,43243.82,1070.81,192.75,INR,41980.26,set_0045,UTR348237,2026-08-10T08:45:25.702631,2026-08-11T08:45:25.702631,UPI,Mastercard,synthetic,utr348237,ord_synth_0045,pay_synth_0045,fuzzy_bank,TXN_802448,
ambiguous_shared_identifier,ORD_DUP_2137,,0.0,no_candidate_found,False,,,,,,,"Error code: 404 - {'error': {'message': 'The model `llama-3.3-70b-versatile` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",unresolved_exception,True,ORD_DUP_2137,39787.74,2026-09-04,CUST_9346,completed,PAY_SYNTH_0047,synthetic,ord_dup_2137,pay_synth_0047,,,,,,,,,,,,,,,,,,,,,
ambiguous_shared_identifier,,,1.0,,,,,,,,,,unresolved_exception,True,,,,,,,,,,sett_0047,PAY_SYNTH_0047,ORD_SYNTH_0047,39787.74,687.37,123.73,INR,38976.64,set_0047,UTR960394,2026-09-04T08:45:25.702736,2026-09-05T08:45:25.702736,Netbanking,VISA,synthetic,utr960394,ord_synth_0047,pay_synth_0047,fuzzy_bank,TXN_468203,
ambiguous_shared_identifier,ORD_ORPHAN_8149,,0.0,no_candidate_found,False,,,,,,,"Error code: 404 - {'error': {'message': 'The model `llama-3.3-70b-versatile` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",unresolved_exception,True,ORD_ORPHAN_8149,,2026-09-01,CUST_2894,pending,PAY_SYNTH_0049,synthetic,ord_orphan_8149,pay_synth_0049,,,,,,,,,,,,,,,,,,,,,
ambiguous_shared_identifier,,,1.0,,,,,,,,,,unresolved_exception,True,,,,,,,,,,sett_0049,PAY_SYNTH_0049,ORD_SYNTH_0049,48130.46,849.73,152.95,INR,47127.78,set_0049,UTR708792,2026-09-01T08:45:25.702827,2026-09-02T08:45:25.702827,Netbanking,Mastercard,synthetic,utr708792,ord_synth_0049,pay_synth_0049,fuzzy_bank,TXN_636265,
