txn_id,amount,value_date,narration,utr,reference,source
TXN_872246,12495.4,2026-08-30,NEFT/IMPS - UTR937933 - ORD_SYNTH_0000,UTR_DUP_334053,PAY_DUP_3286,razorpay_test
TXN_671858,27237.32,2026-09-05,NEFT/IMPS - UTR252537 - ORD_SYNTH_0001,UTR252537,PAY_SYNTH_0001,razorpay_test
TXN_131244,39869.73,2026-08-10,NEFT/IMPS - UTR930932 - ORD_SYNTH_0002,UTR930932,PAY_SYNTH_0002,razorpay_test
TXN_850800,23130.11,2026-09-01,NEFT/IMPS - UTR659906 - ORD_SYNTH_0003,,,razorpay_test
TXN_832052,4965.28,2026-08-14,NEFT/IMPS - UTR180005 - ORD_SYNTH_0004,UTR_DUP_895667,PAY_DUP_3615,razorpay_test
TXN_325772,28214.48,2026-08-07,NEFT/IMPS - UTR199535 - ORD_SYNTH_0005,UTR199535,PAY_SYNTH_0005,razorpay_test
TXN_476417,40485.43,2026-08-24,NEFT/IMPS - UTR159133 - ORD_SYNTH_0006,,,razorpay_test
TXN_145561,36095.82,2026-08-24,NEFT/IMPS - UTR522202 - ORD_SYNTH_0007,UTR522202,PAY_SYNTH_0007,razorpay_test
TXN_182627,,2026-08-18,,,,razorpay_test
TXN_479201,14743.44,2026-08-10,NEFT/IMPS - UTR254570 - ORD_SYNTH_0009,UTR254570,PAY_SYNTH_0009,razorpay_test
TXN_205907,3479.74,2026-08-11,NEFT/IMPS - UTR838797 - ORD_SYNTH_0010,UTR838797,PAY_SYNTH_0010,synthetic
TXN_660086,22099.26,2026-08-30,NEFT/IMPS - UTR391476 - ORD_SYNTH_0011,UTR_DUP_738720,PAY_DUP_3803,synthetic
TXN_817870,22682.93,2026-08-06,NEFT/IMPS - UTR271339 - ORD_SYNTH_0012,UTR271339,PAY_SYNTH_0012,synthetic
TXN_169403,37733.12,2026-08-09,NEFT/IMPS - UTR983794 - ORD_SYNTH_0013,UTR983794,PAY_SYNTH_0013,synthetic
TXN_774079,42892.18,2026-08-15,NEFT/IMPS - UTR694731 - ORD_SYNTH_0014,UTR694731,PAY_SYNTH_0014,synthetic
TXN_549245,13043.04,2026-08-18,NEFT/IMPS - UTR249811 - ORD_SYNTH_0015,UTR249811,PAY_SYNTH_0015,synthetic
TXN_214975,10718.63,2026-08-19,NEFT/IMPS - UTR479580 - ORD_SYNTH_0016,UTR479580,PAY_SYNTH_0016,synthetic
TXN_590785,7875.13,2026-08-16,NEFT/IMPS - UTR757924 - ORD_SYNTH_0017,UTR757924,PAY_SYNTH_0017,synthetic
TXN_887352,47204.15,2026-09-04,"Rs. 48,556.81 / UTR363626 / ORD_SYNTH_0018",,,synthetic
TXN_632342,31473.87,2026-08-22,NEFT/IMPS - UTR905934 - ORD_SYNTH_0019,UTR_DUP_898975,PAY_DUP_3927,synthetic
