entity_id,type,payment_id,order_id,amount,fee,tax,currency,settled_amount,settlement_id,settlement_utr,created_at,settled_at,method,card_network,source
sett_0000,payment,PAY_SYNTH_0000,ORD_SYNTH_0000,12711.15,215.75,38.84,INR,12456.56,set_0000,UTR937933,2026-08-29T14:25:56.925753,2026-08-30T14:25:56.925753,UPI,Mastercard,razorpay_test
sett_0001,payment,PAY_SYNTH_0001,ORD_SYNTH_0001,27838.95,601.63,108.29,INR,27129.03,set_0001,UTR252537,2026-09-04T14:25:56.925852,2026-09-05T14:25:56.925852,Card,VISA,razorpay_test
sett_0002,payment,PAY_SYNTH_0002,ORD_SYNTH_0002,40686.43,816.7,147.01,INR,39722.72,set_0002,UTR930932,2026-08-09T14:25:56.925902,2026-08-10T14:25:56.925902,Card,VISA,razorpay_test
sett_0003,payment,PAY_SYNTH_0003,ORD_SYNTH_0003,23536.25,406.14,73.11,INR,23057.0,set_0003,UTR659906,2026-09-02T14:25:56.925946,2026-09-03T14:25:56.925946,UPI,VISA,razorpay_test
sett_0004,payment,PAY_SYNTH_0004,ORD_SYNTH_0004,5082.24,116.96,21.05,INR,4944.23,set_0004,UTR180005,2026-08-13T14:25:56.925988,2026-08-14T14:25:56.925988,Netbanking,VISA,razorpay_test
sett_0005,payment,PAY_SYNTH_0005,ORD_SYNTH_0005,28886.78,672.3,121.01,INR,28093.47,set_0005,UTR199535,2026-08-06T14:25:56.926032,2026-08-07T14:25:56.926032,Netbanking,VISA,razorpay_test
sett_0006,payment,PAY_SYNTH_0006,ORD_SYNTH_0006,41426.55,941.12,169.4,INR,40316.03,set_0006,UTR159133,2026-08-23T14:25:56.926079,2026-08-24T14:25:56.926079,Netbanking,RuPay,razorpay_test
sett_0007,payment,PAY_SYNTH_0007,ORD_SYNTH_0007,36933.66,837.84,150.81,INR,35945.01,set_0007,UTR522202,2026-08-23T14:25:56.926120,2026-08-24T14:25:56.926120,UPI,VISA,razorpay_test
sett_0008,payment,PAY_SYNTH_0008,ORD_SYNTH_0008,12876.37,258.04,46.45,INR,12571.88,set_0008,UTR223624,2026-08-17T14:25:56.926165,2026-08-18T14:25:56.926165,Netbanking,Mastercard,razorpay_test
sett_0009,payment,PAY_SYNTH_0009,ORD_SYNTH_0009,14981.93,238.49,42.93,INR,14700.51,set_0009,UTR254570,2026-08-09T14:25:56.926207,2026-08-10T14:25:56.926207,Card,Mastercard,razorpay_test
sett_0010,payment,PAY_SYNTH_0010,ORD_SYNTH_0010,3570.8,77.17,13.89,INR,3479.74,set_0010,UTR838797,2026-08-11T14:26:31.625717,2026-08-12T14:26:31.625717,Card,VISA,synthetic
sett_0011,payment,PAY_SYNTH_0011,ORD_SYNTH_0011,22725.17,530.43,95.48,INR,22099.26,set_0011,UTR391476,2026-08-30T14:26:31.625775,2026-08-31T14:26:31.625775,Card,Mastercard,synthetic
sett_0012,payment,PAY_SYNTH_0012,ORD_SYNTH_0012,23166.78,410.04,73.81,INR,22682.93,set_0012,UTR271339,2026-08-06T14:26:31.625831,2026-08-07T14:26:31.625831,Netbanking,RuPay,synthetic
sett_0013,payment,PAY_SYNTH_0013,ORD_SYNTH_0013,38438.85,598.08,107.65,INR,37733.12,set_0013,UTR983794,2026-08-09T14:26:31.625883,2026-08-10T14:26:31.625883,UPI,Mastercard,synthetic
sett_0014,payment,PAY_SYNTH_0014,ORD_SYNTH_0014,43830.74,795.39,143.17,INR,42892.18,set_0014,UTR694731,2026-08-15T14:26:31.625927,2026-08-16T14:26:31.625927,Card,Mastercard,synthetic
sett_0015,payment,PAY_SYNTH_0015,ORD_SYNTH_0015,13317.52,232.61,41.87,INR,13043.04,set_0015,UTR249811,2026-08-18T14:26:31.625968,2026-08-19T14:26:31.625968,Netbanking,Mastercard,synthetic
sett_0016,payment,PAY_SYNTH_0016,ORD_SYNTH_0016,11044.11,275.83,49.65,INR,10718.63,set_0016,UTR479580,2026-08-19T14:26:31.626046,2026-08-20T14:26:31.626046,Card,VISA,synthetic
sett_0017,payment,PAY_SYNTH_0017,ORD_SYNTH_0017,8083.1,176.25,31.72,INR,7875.13,set_0017,UTR757924,2026-08-16T14:26:31.626101,2026-08-17T14:26:31.626101,UPI,Mastercard,synthetic
sett_0018,payment,PAY_SYNTH_0018,ORD_SYNTH_0018,48556.81,1146.32,206.34,INR,47204.15,set_0018,UTR363626,2026-09-04T14:26:31.626148,2026-09-05T14:26:31.626148,Netbanking,RuPay,synthetic
sett_0019,payment,PAY_SYNTH_0019,ORD_SYNTH_0019,32083.99,517.05,93.07,INR,31473.87,set_0019,UTR905934,2026-08-22T14:26:31.626199,2026-08-23T14:26:31.626199,UPI,Mastercard,synthetic
